blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
193.66,193.68,171.52,124.02,83.9437037495,200.66,200.68,181.2,140.64,101.581647301,5,197.66,197.68,180.76,192.74,165.739282653
193.72,194.52,203.72,191.0,82.5243790353,203.12,202.24,204.64,193.68,124.233072232,3,191.92,191.36,194.4,185.64,170.928633507
213.16,216.68,212.2,210.74,101.638139347,224.6,222.42,215.12,217.86,124.828508903,5,224.6,222.5,219.44,220.32,192.859454703
160.78,161.82,187.2,142.92,125.51952075,174.78,174.24,195.24,158.74,181.704648174,1,172.78,172.4,187.72,158.54,174.949742686
152.48,148.06,75.68,94.3,73.2063726225,158.56,154.7,114.36,103.9,117.375086988,3,157.4,152.42,167.06,116.62,166.018774814
159.54,161.46,182.8,84.06,93.1905179591,172.86,171.56,189.7,97.4,105.085206038,5,170.86,169.56,187.38,141.64,170.267333255
220.4,220.02,207.74,179.46,75.9006142987,226.88,226.74,212.86,188.62,99.4878795049,4,220.52,220.3,215.72,212.08,178.328839606
199.44,199.02,199.2,206.74,130.60693241,206.44,206.02,206.62,213.74,188.079232934,1,203.44,203.02,200.72,210.74,184.715505241
148.62,145.18,123.62,53.48,69.3790585018,156.9,157.66,141.48,90.36,119.69512242,3,155.78,157.26,161.12,147.9,179.400565085
199.32,201.38,138.82,85.94,81.0766669632,209.7,209.38,151.7,108.14,98.0613767599,5,201.94,202.38,190.2,220.38,186.814362516
235.12,235.7,215.8,63.02,89.6012717792,240.28,240.6,224.8,166.02,162.640239248,1,238.2,239.44,221.8,159.66,155.478068061
148.56,146.24,68.34,12.98,83.3888735017,159.8,159.24,134.1,61.42,139.566463445,2,162.2,161.24,149.86,78.82,161.741570551
219.04,218.84,212.74,75.16,80.3836362057,228.04,227.04,220.78,90.74,91.2510464913,5,225.04,225.32,218.42,223.66,185.202960284
156.4,155.68,156.58,146.0,85.6618079245,163.84,163.12,169.5,154.0,150.346002098,2,162.84,162.12,166.94,153.0,183.078364661
175.5,175.22,198.08,54.24,89.2929546559,182.5,181.58,200.08,78.16,111.047407289,4,179.5,178.9,200.08,160.76,179.435816327
149.16,146.7,22.2,24.26,61.7879558861,168.64,167.38,128.66,110.82,162.613453294,1,169.64,168.38,121.2,97.34,155.155700811
210.8,212.9,198.88,207.36,115.898053283,221.88,222.48,206.32,220.08,154.301638177,2,220.28,222.16,205.32,218.64,174.739701788
133.34,132.18,108.74,134.86,64.0781895536,147.34,146.18,153.18,149.14,147.468592241,1,145.34,144.26,144.48,146.58,139.563237806
183.04,183.34,198.94,59.26,89.2590423018,194.52,193.88,206.02,86.32,107.414174643,3,189.28,190.64,200.86,163.0,173.99524164
142.08,145.06,119.72,164.7,82.2629171142,149.86,152.14,127.72,167.1,124.344749269,3,142.46,145.78,126.72,159.9,171.679186265
191.88,188.92,204.72,48.92,82.4388207446,207.12,205.12,215.72,74.22,98.6299003641,4,198.52,196.6,207.72,164.8,172.203777285
110.02,112.14,82.9,20.5,65.0481257577,123.98,124.5,102.3,30.06,84.3059851438,4,129.04,129.98,127.24,129.34,173.792410769
216.56,219.24,201.56,222.1,115.201816487,223.28,225.88,207.28,228.18,179.959824305,1,220.84,223.6,204.92,227.02,174.821546148
143.06,137.14,150.18,41.02,77.6156037474,151.94,151.86,157.18,65.96,108.903726083,4,150.1,147.86,153.38,138.42,178.596603549
154.36,151.8,160.42,19.32,85.5991156649,163.6,160.08,168.58,29.92,104.549930956,5,159.8,158.52,167.8,118.22,177.698517489
210.64,212.08,201.74,81.66,89.536176713,220.12,218.8,209.6,192.42,166.362275257,1,218.8,217.84,208.36,196.66,160.553214609
149.18,149.98,150.22,115.4,94.5421699353,163.06,162.5,163.3,139.72,102.745243685,5,159.64,159.3,161.3,144.44,180.311812057
177.3,179.88,182.96,143.84,95.3123711995,184.34,186.2,185.26,148.2,111.87697557,4,177.42,179.52,186.92,151.92,175.396409329
227.96,228.24,18.98,219.62,82.4704882097,233.52,235.24,130.14,230.94,150.544344232,2,230.68,231.68,199.48,230.52,174.573046392
188.98,185.96,112.76,37.08,64.8950368893,194.82,192.16,145.86,112.36,106.114522433,3,192.46,189.56,224.1,199.56,165.003875174
200.58,200.34,20.22,81.9,53.8972119104,206.58,207.06,70.84,172.52,116.628404404,2,205.58,205.9,153.78,223.44,161.219806161
213.08,212.18,75.44,34.0,62.1993563474,210.08,211.42,150.36,82.58,98.6583403609,4,205.08,205.46,246.4,197.8,186.79483756
187.9,187.7,172.1,91.44,95.2604547425,193.9,193.3,178.1,101.12,112.853557648,5,192.9,193.1,177.1,214.96,178.020021863
201.4,203.04,164.82,90.92,63.4199603126,208.04,207.52,181.98,172.86,116.150036799,3,195.82,200.42,190.58,217.38,179.36625623
212.64,208.94,99.46,29.98,56.3873034553,221.76,221.26,201.46,142.28,128.570955253,2,221.6,223.58,207.72,184.38,140.35323733
